SNODP,SWGDN,LWGAB,T2M,SWLAND,GHTSKIN,HFLUX,SPEED,TLML,TSH,EVPSOIL,LWLAND,TS,QV2M,SLP,Y,M,D,W,H,S,T16_plus30
0.340559363365173,0,182.731079101562,-21.3482421875,0,-8.897385597229,-5.31733179092407,2.41920351982117,-18.3595336914062,-29.8736633300781,0,-16.3819122314453,-29.8737243652344,0.0004872902063652,98160.625,2006,12,18,0,0,2,0
0.559505939483643,34.3701972961426,184.20198059082,-18.5290283203125,14.5279817581177,-5.40696859359741,-9.03634548187256,3.98050332069397,-14.8608764648437,-25.1397003173828,0,-31.1277084350586,-25.1386169433594,0.0007540600490756,100260.8359375,2001,3,1,0,0,3,0
0.128852620720863,104.05590057373,242.821670532227,-1.3309387207031,86.2841949462891,-22.8347015380859,22.7023830413818,4.48256349563599,-2.12973632812498,-0.798468017578102,20.9080944061279,-60.2783660888672,-0.851416015624977,0.0032235411927104,101823.171875,2010,9,21,0,0,1,0
0.564962327480316,2.56012153625488,129.498168945312,-38.1156677246094,1.14731669425964,-4.89612436294556,-26.6994171142578,7.38501501083374,-33.0423950195312,-41.7460693359375,0,-33.3776054382324,-41.7464050292969,9.8765864095185e-05,102117.1796875,2012,1,28,1,0,3,0
0.308434665203094,0.0086530046537518,204.156433105469,-16.0509704589844,0.0039995494298636,-10.5812873840332,-4.81023836135864,2.6184720993042,-13.4046081542969,-22.53916015625,0,-20.5075511932373,-22.5388244628906,0.0008601748268119,100651.3203125,2004,11,26,0,0,2,0
0.437040776014328,0,160.856826782227,-33.6380676269531,0,-8.890212059021,-7.18024826049805,4.30759334564209,-31.438330078125,-36.0085052490234,0,-18.8057594299316,-36.0079406738281,0.000173117237864,103295.1953125,2004,1,8,0,0,3,0
0.328136831521988,0,181.732803344727,-28.8440155029297,0,-7.07254028320312,-5.44623708724976,3.31560873985291,-26.5602783203125,-31.9107879638672,0,-10.6260375976562,-31.910498046875,0.0002800483489409,101727.515625,2001,12,7,0,0,2,0
0.134168595075607,130.885665893555,273.85009765625,1.33089599609377,109.172256469727,1.54247307777405,23.8836879730225,3.23524785041809,0.576806640625023,2.1075378417969,18.8101959228516,-45.6444931030273,1.90230712890627,0.0039668553508818,101151.5546875,2009,8,26,0,0,1,0
0.300286740064621,0,211.554092407227,-23.5996765136719,0,-3.72645473480225,-1.80548012256622,3.24511623382568,-23.599951171875,-24.0133728027344,0,-7.07529592514038,-24.0128692626953,0.0004776840505655,99210.984375,2008,1,3,0,0,3,0
0.0348172187805176,182.763793945312,271.720672607422,3.68950805664065,151.446502685547,15.8899917602539,30.8383617401123,3.41132712364197,2.76625976562502,4.64959106445315,46.8848495483398,-53.2549514770508,4.6246276855469,0.0046456307172775,100907.2109375,2007,5,29,0,0,0,1
