SNODP,SWGDN,LWGAB,T2M,SWLAND,GHTSKIN,HFLUX,SPEED,TLML,TSH,EVPSOIL,LWLAND,TS,QV2M,SLP,Y,M,D,W,H,S,T_07_plus7
0.185868054628372,72.3094482421875,202.270858764648,-4.05295410156248,32.8100051879883,-5.63435316085815,5.98116588592529,8.65155220031738,-3.37253417968748,-2.4400695800781,0.424815595149994,-64.7856979370117,-4.08066406249998,0.0023801093921065,102880.7109375,1999,10,1,0,0,2,1
0,107.396034240723,334.746398925781,8.9223571777344,99.0033264160156,6.98286819458008,-2.76702690124512,4.61419296264648,10.6629272460938,7.32204589843752,35.3828353881836,-35.1848945617676,5.85524902343752,0.0066268062219023,101100.6171875,1997,7,25,0,0,1,1
0.455668032169342,0,220.578948974609,-21.6967224121094,0,-0.180754899978638,41.3030090332031,11.3219566345215,-22.7026275634765,-19.8848937988281,0,-3.68988013267517,-19.87021484375,0.0005694411811418,101191.265625,2000,1,19,0,0,3,0
0.173332706093788,51.634521484375,298.508544921875,1.60091552734377,40.9310722351074,10.9386854171753,-1.16751384735107,6.01214170455933,1.89556274414065,1.39644775390627,5.28757619857788,-18.4756412506104,1.13149414062502,0.0041220961138606,100054.953125,1999,9,20,0,0,1,1
0.375813394784927,1.74257910251617,235.339416503906,-11.2784790039062,0.789818227291107,0.20259515941143,-3.34750175476074,10.1019868850708,-10.3359130859375,-11.00107421875,0,-21.1907997131348,-12.1440490722656,0.0013594087213277,101789.3359375,1994,2,2,0,0,3,0
0.173332318663597,28.6338291168213,239.895782470703,-3.14557495117185,21.5356216430664,-22.3161716461182,16.0805854797363,4.06051683425903,-3.61490478515623,-0.586584472656227,5.33845949172974,-41.388614654541,-1.81839599609373,0.0021645452361553,100425.2578125,1989,10,10,0,0,2,0
0.177251636981964,0,150.452499389648,-29.4538787841797,0,-13.3440561294556,13.7836475372314,4.25798511505127,-28.3809875488281,-23.1892913818359,0,-24.1662483215332,-29.4422668457031,0.0002762211952358,103415.734375,1989,11,21,0,0,2,0
0.173333019018173,220.318115234375,281.799560546875,-0.0778869628906023,192.817687988281,10.1067905426025,23.9668617248535,3.51967120170593,-0.841223144531227,1.63359985351565,46.2264823913574,-52.6339378356934,1.27822265625002,0.0034465421922504,102138.34375,1999,7,23,0,0,1,1
0.226608902215958,0,192.163238525391,-23.4624694824219,0,-2.47689270973206,52.0647354125977,22.7587566375732,-24.30283203125,-22.2027191162109,0,-26.5304985046387,-21.7932952880859,0.0004586883296724,101769.9453125,1995,12,19,0,0,2,0
0.45203772187233,28.5025634765625,219.956985473633,-17.5065826416015,11.815113067627,-4.81974983215332,28.0743160247803,8.3026180267334,-18.4467071533203,-15.88486328125,0,-19.2720375061035,-15.920751953125,0.0007843476487323,103843.0546875,1988,3,14,0,0,3,0
0.587184965610504,70.7041625976562,155.181930541992,-19.866796875,30.5188312530518,-1.42014956474304,11.6295900344849,13.7835340499878,-20.3893798828125,-19.2390350341797,0,-70.8718032836914,-19.3947204589844,0.0006354011129587,103396.4765625,2000,3,12,1,0,3,0
0.333416819572449,0,221.995178222656,-17.7546142578125,0,-2.16074991226196,27.9963989257812,13.5475845336914,-18.5658325195312,-16.5411437988281,0,-16.0186042785645,-16.5498107910156,0.0007959427312016,101433.296875,1997,12,4,0,0,2,1
0.133690536022186,23.3109035491943,259.554962158203,-0.295050048828102,20.280689239502,-16.3080787658691,7.5769510269165,5.67160367965698,-0.725683593749977,0.754693603515648,2.63639140129089,-39.3141212463379,0.451989746093773,0.0033737625926733,101689.5234375,1998,10,3,1,0,2,1
0.249395161867142,250.263214111328,234.104293823242,-5.7152160644531,120.490348815918,-0.947027266025543,12.0285224914551,9.19597625732422,-6.37531127929685,-5.09207763671873,0,-61.9621429443359,-5.14505615234373,0.0022679171524941,102266.421875,1990,5,8,0,0,0,0
6.32804169443469e-15,192.159194946289,271.735778808594,4.80367431640627,172.554443359375,13.354398727417,11.2128915786743,5.30481100082397,5.00261840820315,5.7946716308594,35.4344787597656,-72.8768081665039,4.73613891601565,0.0047393650747835,102399.9765625,1990,8,12,1,0,1,1
0.346469193696976,199.251754760742,258.782836914062,-4.6518615722656,96.6450576782227,-1.81602954864502,11.9729061126709,5.93074369430542,-5.31876220703123,-3.83255615234373,0,-40.9788360595703,-3.9226135253906,0.0024422011338174,102114.765625,1997,5,3,1,0,0,0
0,169.422607421875,319.389434814453,4.67507324218752,151.467422485352,6.59226703643799,14.4839038848877,8.05327224731445,4.50139770507815,5.55547485351565,45.9728736877441,-30.488224029541,4.71889648437502,0.0051389946602284,101169.1484375,1997,7,18,0,0,1,1
0.430469304323196,0,218.379959106445,-16.0943664550781,0,-2.94547772407532,18.8842353820801,10.6011972427368,-16.7949584960937,-14.9834045410156,0,-23.4552135467529,-15.2128356933594,0.0008999360143207,102689.2109375,1993,1,3,1,0,3,0
0.575234651565552,235.977523803711,250.360473632812,-5.6129211425781,102.14924621582,0.265607267618179,12.6199226379395,6.52400779724121,-6.22150268554685,-4.80740966796873,0,-44.325267791748,-4.88858642578123,0.0022012775298208,102118.0390625,1989,5,19,0,0,0,0
0.0831483528017998,240.271408081055,268.636993408203,1.90825805664065,210.394271850586,8.39443111419678,17.2708873748779,5.84854125976562,1.4905944824219,2.99273071289065,60.4306678771973,-65.4391174316406,2.4720397949219,0.0037074973806738,101418.8046875,1989,7,21,0,0,1,1
0.0412436760962009,287.919281005859,298.911102294922,3.3775573730469,256.917175292969,29.8120212554932,17.4891815185547,2.40418910980225,3.08400878906252,5.36354980468752,77.4430465698242,-65.4345321655273,3.58895263671877,0.0043090200051665,101792.1171875,1993,6,16,0,0,0,1
0.647459983825684,52.8498497009277,217.150436401367,-18.0644287109375,21.8585910797119,-0.403077095746994,28.8547420501709,8.03000926971436,-18.984487915039,-16.0782531738281,0,-20.1971454620361,-16.3503784179687,0.0007691791979596,102228.3828125,1989,3,23,0,0,0,0
0.173332437872887,52.6785697937012,299.139373779297,1.78237304687502,49.8080787658691,6.30082702636719,2.67020153999329,5.64329433441162,1.43789062500002,1.83684692382815,7.96944522857666,-22.5495166778564,1.72145996093752,0.00414748955518,99969.1015625,1990,9,15,1,0,1,1
0,282.796539306641,305.080383300781,5.0892272949219,251.19921875,25.7884120941162,13.9985799789429,3.83081483840942,5.23958740234377,6.85988769531252,74.0612487792969,-66.3252639770508,4.70559082031252,0.005029157269746,101317.1796875,1991,6,28,0,0,1,1
