Y,M,D,W,H,S,SNODP,SWGDN,LWGAB,T2M,SWLAND,GHTSKIN,HFLUX,SPEED,TLML,TSH,EVPSOIL,LWLAND,TS,QV2M,SLP,T_12
1990,8,19,1,0,1,0,185.01155090332,262.384979248047,2.30526123046877,163.713363647461,4.45230436325073,10.1745367050171,11.5673046112061,1.87200317382815,2.48909912109377,27.7990036010742,-65.2080841064453,2.25063476562502,0.0040249009616673,101478.6171875,1
1997,4,6,1,0,0,0.532147347927094,99.9977111816406,261.364898681641,-6.31394042968748,42.486686706543,3.95200300216675,4.29137897491455,6.10270404815674,-6.6689514160156,-5.69119873046873,0,-27.5617504119873,-5.99674072265623,0.0021938560530543,101052.4609375,0
1990,7,28,1,0,1,0.110656343400478,242.807373046875,270.376007080078,0.254907226562523,221.659576416016,1.02075052261353,35.8154716491699,4.06847620010376,-0.673010253906227,2.5685974121094,46.0653076171875,-70.523551940918,2.23977050781252,0.0034576286561787,102515.984375,1
1990,2,9,0,0,3,0.305302828550339,2.72751879692078,191.620056152344,-29.2735809326172,1.18102991580963,-2.75797557830811,64.399658203125,9.52216339111328,-30.6093505859375,-26.2932952880859,0,-5.065673828125,-26.17490234375,0.0003026592021342,100840.4453125,0
1995,9,25,0,0,2,0.0443288497626781,37.6431922912598,313.273651123047,1.68581542968752,35.7138252258301,-6.20223140716553,4.91828775405884,4.99518346786499,1.0914245605469,2.31496582031252,12.6414356231689,-10.616623878479,2.11141357421877,0.0041545843705534,101250.4296875,0
1989,3,10,0,0,3,0.64765328168869,34.845100402832,255.045547485352,-9.70908203124998,14.2398433685303,5.92682027816772,2.67089676856995,10.8803405761719,-9.84927978515623,-9.01102294921873,0,-14.7888307571411,-9.69611206054685,0.0015452412189915,101858.3203125,0
2000,2,27,1,0,3,0.60573947429657,19.9382553100586,200.290832519531,-22.6429809570312,8.24138736724854,-1.78232038021088,24.2324199676514,6.97175168991089,-23.3161834716797,-20.3772186279297,0,-17.9015922546387,-21.1659606933594,0.0004930485156364,102020.9375,0
1989,6,4,1,0,0,0.0882382243871689,125.63427734375,307.262451171875,1.29363403320315,112.752403259277,15.4295139312744,9.38308429718018,4.93150901794434,0.836419677734398,2.04342041015627,33.8549690246582,-23.1315040588379,1.55202636718752,0.0039579272270202,101423.8359375,0
1995,4,5,0,0,0,0.602415204048157,129.454513549805,207.661087036133,-13.6144775390625,55.0551223754883,-0.372586905956268,17.0925254821777,18.5573902130127,-14.3286499023437,-13.1400817871094,0,-47.545597076416,-12.9964965820312,0.0010880387853831,100992.828125,0
1994,8,24,0,0,1,0,138.530120849609,272.529449462891,4.00151977539065,126.948425292969,12.1945447921753,2.8469979763031,4.33464193344116,4.61739501953127,4.02785644531252,30.7794380187988,-62.8998947143555,3.34453735351565,0.0041293213143944,100758.5859375,1
1995,2,16,0,0,3,0.477879017591476,3.12752413749695,244.168212890625,-11.8820556640625,1.29790711402893,0.317872613668442,13.0841417312622,16.3099231719971,-12.5746826171875,-11.447607421875,0,-17.0345687866211,-11.31845703125,0.0012783472193405,101197.390625,0
2000,2,20,1,0,3,0.607353985309601,12.96923828125,179.076614379883,-26.7755798339844,5.38360786437988,-2.69255900382996,37.0445251464844,13.902645111084,-27.6620697021484,-25.4824279785156,0,-23.2203731536865,-25.3165496826172,0.0003510831156745,100641.9765625,0
1989,12,1,0,0,2,0.177942171692848,0,185.096252441406,-23.6596130371094,0,-8.56522846221924,9.88277244567871,4.51596164703369,-23.0397094726562,-20.1189025878906,0,-18.2520332336426,-23.5254577636719,0.0004447100800462,102165.015625,0
1994,1,18,0,0,3,0.343994170427322,0,215.141967773438,-16.0528625488281,0,-3.26646685600281,14.4176807403564,9.35908508300781,-16.2919982910156,-14.6648620605469,0,-24.4170150756836,-15.4082092285156,0.0009200708009302,100643.765625,0
1988,9,6,0,0,1,0.173332646489143,44.9099807739258,299.949890136719,0.292138671875023,35.2232513427734,0.329011291265488,1.79993641376495,5.53487682342529,-0.177465820312477,0.509851074218773,6.48179197311401,-14.9835901260376,0.354211425781273,0.0037080042529851,100833.046875,1
1989,2,8,0,0,3,0.509961366653442,2.67500805854797,245.671417236328,-5.79154052734373,1.1085718870163,1.99170351028442,-20.1293563842773,9.70785713195801,-4.62790527343748,-6.87473144531248,0,-31.6484050750732,-7.33563842773435,0.0020735459402203,101494.0859375,0
1988,9,11,1,0,1,0.173332363367081,86.8111572265625,272.481506347656,-1.68479003906248,74.3545303344727,0.17670202255249,12.8266410827637,3.03052496910095,-2.4312805175781,-0.0597595214843523,11.8452081680298,-37.7377891540527,-0.245397949218727,0.0031216458883136,100548.2421875,1
1989,1,2,0,1,3,0.436634182929993,0,237.924194335938,-14.8725952148437,0,-1.40270841121674,8.24567794799805,5.82310199737549,-15.0629638671875,-12.4718078613281,0,-7.72642135620117,-14.4273742675781,0.0010208645835518,99653.375,0
1997,12,25,0,1,3,0.389478266239166,0,202.819320678711,-24.7050689697265,0,-3.4459764957428,30.6812610626221,8.42509746551514,-25.6077178955078,-22.4891876220703,0,-8.87409973144531,-22.9787811279297,0.0004207198508083,100794.375,0
1995,4,14,0,1,0,0.577763199806213,137.547119140625,239.793441772461,-10.3435119628906,58.2527732849121,-0.294179946184158,10.4869470596313,3.98786807060242,-10.7811340332031,-8.61874999999998,0,-33.3005027770996,-9.31723632812498,0.0014647729694843,101496.2734375,0
