SNODP,SWGDN,LWGAB,T2M,SWLAND,GHTSKIN,HFLUX,SPEED,TLML,TSH,EVPSOIL,LWLAND,TS,QV2M,SLP,Y,M,D,W,H,S,T0
0.173333033919334,156.07600402832,293.527038574219,7.1584411621094,131.658279418945,23.4404926300049,6.51714372634888,3.67324995994568,7.53374633789065,7.28530273437502,30.0229473114014,-52.2226448059082,7.25270996093752,0.0054088900797069,101061.4921875,2001.0,8.0,19.0,1.0,0.0,1.0,1
0.104394197463989,302.494140625,256.872100830078,6.23848876953127,249.287033081055,71.0325775146484,24.1794681549072,3.26624917984009,6.3621765136719,6.19365844726565,65.7589797973633,-76.8750686645508,6.06612548828127,0.0052648964338004,101771.453125,2000.0,6.0,5.0,0.0,0.0,0.0,1
0.314645141363144,7.66438817977905,156.998641967773,-20.7826599121094,3.44563674926758,-11.7761554718018,-19.9142570495605,4.53749227523804,-14.0061401367187,-31.2908386230469,0.0,-37.3804473876953,-31.2927917480469,0.0003176945028826,101912.0234375,2000.0,11.0,7.0,0.0,0.0,2.0,0
0.0127623714506626,261.12109375,263.098358154297,6.74834594726565,216.369094848633,17.1758708953857,36.0064353942871,4.56002330780029,6.33526000976565,7.33687744140627,71.5994262695312,-78.6221084594727,7.29519042968752,0.0050521516241133,101110.9375,2001.0,6.0,20.0,0.0,0.0,0.0,1
0.0,247.149490356445,316.754638671875,13.6637817382813,204.609664916992,14.2021913528442,33.5543746948242,3.31000709533691,12.6907287597656,14.5417114257813,65.4402008056641,-65.1095886230469,14.5116821289063,0.0084227081388235,100701.53125,2007.0,7.0,11.0,0.0,0.0,1.0,1
0.405923247337341,11.6112470626831,222.432342529297,-14.6590026855469,5.00737333297729,-6.79362440109253,-3.03409576416016,2.14427518844604,-12.9865783691406,-18.4295104980469,0.0,-16.4773464202881,-18.4297393798828,0.0011218126164749,101403.90625,2014.0,10.0,30.0,0.0,0.0,2.0,0
0.301350772380829,160.821716308594,270.901275634766,-1.38883056640623,87.2426223754883,1.87330400943756,10.8110694885254,3.3852653503418,-1.21921386718748,-1.72687377929685,1.08831024169922,-36.1986351013184,-1.73666992187498,0.0032656888943165,100641.953125,2012.0,5.0,13.0,1.0,0.0,0.0,0
0.101493053138256,218.464309692383,252.04817199707,1.1559997558594,167.507568359375,36.5313529968262,19.2747993469238,2.99068784713745,0.666833496093773,2.5334411621094,30.1987991333008,-61.3472480773926,1.66988525390627,0.0035943281836807,102172.9765625,2006.0,5.0,23.0,0.0,0.0,0.0,1
0.687185168266296,88.541633605957,194.698165893555,-18.7176116943359,37.4351654052734,-4.26505851745605,7.83065986633301,2.72302222251892,-17.6239685058594,-21.5701354980469,0.0,-33.1978454589844,-21.5708374023437,0.000777187233325,101213.1015625,2015.0,3.0,22.0,1.0,0.0,0.0,0
0.672826170921326,60.553897857666,185.691329956055,-14.0642456054687,25.6214942932129,-3.04701399803162,-7.04170417785645,2.88295221328735,-10.3642028808594,-24.2236389160156,0.0,-33.0158538818359,-24.2233795166015,0.0003874129615724,102418.8203125,2011.0,3.0,6.0,1.0,0.0,3.0,0
0.66008335351944,160.491149902344,162.309524536133,-20.0160125732422,69.6157073974609,-2.18761277198792,-3.74701547622681,6.06060886383057,-17.0235961914062,-21.8424896240234,0.0,-65.4463043212891,-21.8426574707031,0.0006178252515383,101695.3671875,2014.0,4.0,10.0,0.0,0.0,0.0,0
0.255919128656387,201.338241577148,264.695526123047,-1.80771484374998,115.524879455566,13.3498859405518,9.66725826263428,3.24856066703796,-2.0921691894531,-1.53375854492185,4.09621858596802,-40.7814865112305,-1.6966613769531,0.0032205982133746,102167.9140625,2005.0,5.0,8.0,1.0,0.0,0.0,1
0.626627624034882,1.1006281375885,154.891357421875,-35.243032836914,0.483547121286392,-7.51001596450806,-12.5489826202393,5.98753786087036,-32.8381408691406,-37.4355682373047,0.0,-20.401985168457,-37.4367584228515,0.0001400062465108,101696.3515625,2015.0,1.0,25.0,1.0,0.0,3.0,0
0.0536537952721119,163.299331665039,297.867889404297,3.68389282226565,136.354522705078,25.2951889038086,38.6994705200195,4.7031192779541,2.67632446289065,4.6896911621094,40.0367469787598,-26.479061126709,4.66207275390627,0.0048623993061482,101232.34375,2007.0,5.0,25.0,0.0,0.0,0.0,1
0.460860937833786,0.0,180.633712768555,-22.1702178955078,0.0,-7.31049537658691,-21.1136989593506,6.5566258430481,-16.7005065917969,-25.7565673828125,0.0,-32.0837783813477,-25.7560943603515,0.0005142328445799,102129.796875,2000.0,12.0,10.0,1.0,0.0,2.0,0
0.0,54.3633003234863,331.862060546875,8.3137145996094,46.3172073364258,-0.455538153648376,4.98651504516602,4.50470685958862,8.5296569824219,8.02898559570315,8.98179531097412,-17.4698295593262,8.02312622070315,0.0067983968183398,100378.7421875,2001.0,8.0,14.0,0.0,0.0,1.0,1
0.545106887817383,4.50151586532593,188.057723999023,-30.1113189697265,1.93643188476562,-4.42701435089111,0.129816591739655,2.26181244850159,-29.87607421875,-31.0229248046875,0.0,-7.04622745513916,-31.0228790283203,0.0002488379832357,102023.6328125,2013.0,2.0,1.0,0.0,0.0,3.0,0
0.386079698801041,0.0,220.908584594727,-19.6362670898437,0.0,-4.57706260681152,-3.96731543540955,4.13111352920532,-18.9933227539062,-20.5592712402344,0.0,-10.0914621353149,-20.55966796875,0.0006840524147264,100180.078125,2002.0,12.0,26.0,0.0,0.0,3.0,0
