SNODP,SWGDN,LWGAB,T2M,SWLAND,GHTSKIN,HFLUX,SPEED,TLML,TSH,EVPSOIL,LWLAND,TS,QV2M,SLP,Y,M,D,W,H,S,T0
0.335593581199646,0.0,192.296112060547,-21.5510314941406,0.0,-6.63756847381592,20.638313293457,4.84344148635864,-21.5246032714844,-16.8984436035156,0.0,-19.8103618621826,-20.377066040039,0.0005647626821883,100864.5078125,1999.0,1.0,17.0,1.0,0.0,3.0,0
0.452492862939835,40.6897773742676,164.303771972656,-24.3515838623047,17.5421028137207,-6.58233690261841,8.94952297210693,3.34856843948364,-23.63486328125,-20.0010284423828,0.0,-30.7188892364502,-24.5461181640625,0.0004075584583915,103576.15625,1999.0,3.0,4.0,0.0,0.0,3.0,0
0.17968513071537,22.7726249694824,262.927703857422,-5.28061523437498,9.71214485168457,-1.90228283405304,-2.6275007724762,9.36683559417725,-5.60135498046873,-5.2150939941406,0.001597101567313,-24.9378986358643,-5.4188293457031,0.0023115067742764,101317.0703125,1996.0,10.0,3.0,0.0,0.0,2.0,0
0.173331722617149,31.7526531219482,287.589630126953,-0.378302001953102,25.8671550750732,-6.81719017028809,11.1671552658081,7.79915761947632,-1.16275634765623,0.306176757812523,5.65326452255249,-21.9840335845947,0.333276367187523,0.0035104346461594,100315.8828125,1987.0,9.0,21.0,0.0,0.0,1.0,0
0.0,236.596054077148,276.86474609375,7.35897216796877,217.634872436523,20.956392288208,4.94719743728638,3.88832688331604,8.5552917480469,7.24929199218752,65.7496948242188,-88.0778274536133,5.76430664062502,0.0052304519340395,102316.046875,1998.0,7.0,27.0,0.0,0.0,1.0,1
0.515341937541962,4.9206976890564,217.908111572266,-20.6499694824219,2.11698460578918,2.22961163520813,34.6408576965332,12.6150941848755,-21.5366882324219,-19.1886199951172,0.0,-9.49581432342529,-19.2001556396484,0.0006252096500247,101611.0625,1991.0,2.0,10.0,1.0,0.0,3.0,0
0.328971892595291,115.963958740234,259.219512939453,-7.27994384765623,48.6176071166992,-0.30245915055275,10.1294193267822,5.23904657363892,-7.87714233398435,-6.3466857910156,0.0,-25.9550380706787,-6.53281249999998,0.0019551101140677,100951.3671875,1990.0,4.0,17.0,0.0,0.0,0.0,0
0.173332512378693,8.82086181640625,272.666870117188,-1.7009338378906,5.56285190582275,-2.88776564598083,-6.34035730361938,11.6196813583374,-1.81986083984373,-1.94656982421873,1.81430304050446,-26.0954494476318,-2.08334960937498,0.0030830788891762,98224.2734375,1998.0,10.0,25.0,1.0,0.0,2.0,0
0.0263220965862274,162.586791992188,290.986663818359,4.38848266601565,152.964050292969,27.4742240905762,2.57707095146179,5.80305004119873,4.88433227539065,4.3065124511719,40.9653205871582,-55.4426803588867,3.64766845703127,0.0045577506534755,100780.5234375,1993.0,8.0,17.0,0.0,0.0,1.0,1
0.0767933055758476,336.18359375,264.692993164062,3.52950439453127,298.206237792969,24.5671367645264,12.5397672653198,5.4052038192749,4.21395263671877,4.55416259765627,87.2189712524414,-93.4869232177734,3.01387939453127,0.0043044714257121,101934.4140625,1999.0,7.0,1.0,0.0,0.0,1.0,1
0.199895113706589,11.26318359375,235.659851074219,-10.2912048339844,4.88082695007324,-3.09608054161072,16.4648590087891,9.33081340789795,-10.6573547363281,-8.54147949218748,0.0,-26.6087741851807,-9.56339111328123,0.0015437720576301,102261.3359375,1986.0,10.0,26.0,1.0,0.0,2.0,0
0.563328564167023,145.669418334961,238.25617980957,-9.44803466796873,61.921516418457,-1.50074648857117,10.1597843170166,5.19925689697266,-9.30185546874998,-8.44412841796873,0.0,-32.4404754638672,-9.20230712890623,0.0016522828955203,101691.609375,1995.0,4.0,20.0,0.0,0.0,0.0,0
0.0,130.320709228516,317.334381103516,3.3764587402344,112.304336547852,2.05956292152405,14.7040338516235,2.71333241462708,2.80791625976565,4.94759521484377,32.7812576293945,-28.8405361175537,4.22463378906252,0.0047086300328373,100930.5078125,1997.0,8.0,1.0,0.0,0.0,1.0,1
0.38491228222847,5.02920532226562,193.168533325195,-19.9223083496094,2.36800575256348,-2.44866704940796,27.4964141845703,16.496955871582,-20.4340728759765,-18.7634948730469,0.0,-36.2904510498047,-18.9304870605469,0.0006481414893642,102735.53125,1988.0,2.0,7.0,1.0,0.0,3.0,0
0.0607044026255608,281.484527587891,243.920547485352,-0.929113769531227,249.530731201172,28.3949184417725,14.6321029663086,7.01566410064697,-1.32065429687498,0.307122802734398,51.4756202697754,-83.8673858642578,-0.466802978515602,0.0031232791952788,101333.984375,1992.0,5.0,29.0,0.0,0.0,0.0,0
0.422534734010696,15.9929914474487,199.996551513672,-25.517919921875,6.6634578704834,-6.68303871154785,70.9274063110352,11.2243642807007,-26.8191436767578,-22.7827514648437,0.0,-10.4251194000244,-22.5889495849609,0.0004055091703776,103778.296875,1987.0,2.0,28.0,1.0,0.0,3.0,0
0.120173171162605,274.962554931641,285.535125732422,0.292718505859398,243.049209594727,16.1164970397949,29.9422569274902,4.05655670166016,-0.491064453124977,2.33608398437502,56.2781066894531,-59.0822601318359,1.79827270507815,0.0035813129507005,101271.46875,1992.0,6.0,17.0,0.0,0.0,0.0,1
0.308402478694916,0.0,207.598785400391,-14.2851013183594,0.0,-2.80519318580627,-3.99051809310913,12.367844581604,-14.5454772949219,-14.2576049804687,0.0,-42.1236343383789,-14.4462036132812,0.0010448262328282,102137.796875,1999.0,11.0,29.0,0.0,0.0,2.0,0
