SNODP,SWGDN,LWGAB,T2M,SWLAND,GHTSKIN,HFLUX,SPEED,TLML,TSH,EVPSOIL,LWLAND,TS,QV2M,SLP,Y,M,D,W,H,S,T_07_plus30
0.122541546821594,306.761383056641,257.058288574219,-0.716406249999977,273.535308837891,1.48801338672638,42.539249420166,7.70604467391968,-1.71640624999998,0.912133789062523,69.760856628418,-74.8991012573242,0.851190185546898,0.0031715836375951,102097.828125,1996,7,10,0,0,1,1
0.199760764837265,11.3965654373169,233.195709228516,-5.50089111328123,5.11787796020508,-7.61500406265259,16.3023490905762,5.81174802780151,-5.1413635253906,-2.39337768554685,0.324602752923965,-27.9377040863037,-4.75992431640623,0.0019424504134804,101332.1328125,1993,10,24,1,0,2,0
0.462023079395294,92.7268905639648,200.763153076172,-21.7666534423828,38.5599899291992,-2.06320834159851,40.1992492675781,9.81687831878662,-22.787451171875,-19.9701599121094,0,-24.6075572967529,-19.9160217285156,0.0005357609479688,102007.71875,1988,3,31,0,0,0,0
0.17333148419857,21.3712921142578,231.541366577148,-11.5309204101562,12.2534990310669,-18.2778701782227,8.08734130859375,2.42150688171387,-11.2945617675781,-7.26535644531248,1.76946413516998,-24.6106834411621,-11.5886901855469,0.0013469662517309,101685.1953125,1991,10,18,0,0,2,0
0.512780904769897,1.89676916599274,238.854156494141,-9.50113525390623,0.796215772628784,-0.609775543212891,-3.06489658355713,9.26658725738525,-9.77915039062498,-9.25595703124998,0,-27.7950801849365,-9.62644042968748,0.0016359747387468,101486.921875,1989,2,9,0,0,3,0
0.0958981364965439,205.96614074707,286.837860107422,1.29265747070315,179.213897705078,16.4085140228271,12.2571039199829,2.80918908119202,1.07454833984377,2.63686523437502,44.974552154541,-56.6338539123535,1.67006835937502,0.0037718729581683,101337.4375,1993,6,23,0,0,1,1
0.462477415800095,91.6027297973633,206.96501159668,-22.8764709472656,36.8813972473145,-0.78279834985733,34.2091979980469,5.57762479782104,-23.8790649414062,-20.2158569335937,0,-17.19020652771,-20.3158630371094,0.0004688939661718,102446.7578125,1988,4,5,0,0,0,0
0.140060141682625,232.157180786133,282.263946533203,1.22429809570315,207.208450317383,10.1074514389038,20.9416561126709,4.6283106803894,0.616052246093773,2.33443603515627,52.9898071289062,-57.4718437194824,1.90200195312502,0.0037946158554405,101576.8046875,1999,7,25,1,0,1,1
0.200995564460754,8.31441211700439,243.712341308594,-9.69989624023435,3.5728132724762,-4.24420738220215,21.4661407470703,5.19565486907959,-9.75028076171873,-5.08426513671873,0,-15.2585000991821,-8.6081604003906,0.0015909021021798,102415.09375,1997,10,23,0,0,2,1
0.226608902215958,0,192.163238525391,-23.4624694824219,0,-2.47689270973206,52.0647354125977,22.7587566375732,-24.30283203125,-22.2027191162109,0,-26.5304985046387,-21.7932952880859,0.0004586883296724,101769.9453125,1995,12,19,0,0,2,0
0.397603929042816,0,182.356521606445,-28.927587890625,0,-4.28544425964355,31.5860710144043,5.49075222015381,-29.6628631591797,-25.4532684326172,0,-9.35858345031738,-26.7734283447265,0.0002757395850494,102047.21875,1991,1,15,0,0,3,0
0.333416819572449,0,221.995178222656,-17.7546142578125,0,-2.16074991226196,27.9963989257812,13.5475845336914,-18.5658325195312,-16.5411437988281,0,-16.0186042785645,-16.5498107910156,0.0007959427312016,101433.296875,1997,12,4,0,0,2,0
0.360819607973099,0,230.755279541016,-16.8869689941406,0,-2.35919761657715,26.7377090454102,17.8406848907471,-17.6705535888672,-16.0706237792969,0,-11.3928232192993,-15.8945983886719,0.0008350674179382,100425.390625,1997,12,11,0,0,2,0
0,169.422607421875,319.389434814453,4.67507324218752,151.467422485352,6.59226703643799,14.4839038848877,8.05327224731445,4.50139770507815,5.55547485351565,45.9728736877441,-30.488224029541,4.71889648437502,0.0051389946602284,101169.1484375,1997,7,18,0,0,1,1
0.430469304323196,0,218.379959106445,-16.0943664550781,0,-2.94547772407532,18.8842353820801,10.6011972427368,-16.7949584960937,-14.9834045410156,0,-23.4552135467529,-15.2128356933594,0.0008999360143207,102689.2109375,1993,1,3,1,0,3,0
0.175145998597145,0.0512289591133595,219.503326416016,-13.1387390136719,0.0286024380475283,-8.28111839294434,18.1494617462158,4.66049861907959,-12.304296875,-7.0146545410156,0.283264815807343,-17.4095630645752,-12.6384033203125,0.0010710308561101,100946.265625,1998,11,18,0,0,2,0
0.140198037028313,208.147583007812,292.234558105469,-0.141790771484352,106.751884460449,4.59905958175659,-0.522492408752441,3.16985201835632,-0.381048583984352,0.0399719238281477,0.001871287706308,-21.6542644500732,-0.265875244140602,0.0035626755561679,103144.734375,1996,5,12,1,0,0,1
0.227722227573395,0,163.544570922852,-26.6770538330078,0,-7.80380821228027,14.792989730835,6.50359535217285,-26.3652862548828,-22.9270080566406,0,-25.4980030059814,-26.534033203125,0.0003568980318959,102441.0390625,1995,12,17,1,0,2,0
0.297176897525787,2.53110766410828,222.357223510742,-17.5779479980469,1.11753284931183,-3.71308493614197,26.4714679718018,9.31275749206543,-18.495474243164,-16.1223815917969,0,-15.3994903564453,-16.1515869140625,0.0008127743494696,100441.375,1996,11,5,0,0,2,1
0.341880440711975,0,164.918487548828,-16.1042846679687,0,-3.74208045005798,-6.383460521698,14.1683683395386,-15.6554626464844,-15.4945739746094,0,-70.8470840454102,-16.6105102539062,0.0009149007382802,102649.375,1993,12,31,0,0,3,0
