Y,M,D,W,H,S,SNODP,SWGDN,LWGAB,T2M,SWLAND,GHTSKIN,HFLUX,SPEED,TLML,TSH,EVPSOIL,LWLAND,TS,QV2M,SLP,T8
2014,9,18,0,0,1,0.0054065589793026,58.307300567627,290.537933349609,3.58059082031252,49.2751159667969,-5.36905574798584,7.78086566925049,2.14288187026978,3.3909851074219,3.35018310546877,9.90901279449463,-32.0125350952148,3.33059082031252,0.0050167455337941,99567.6484375,0
2003,8,19,0,0,1,0.000226926538744,166.794494628906,288.468566894531,6.92397460937502,139.536163330078,3.39698696136475,22.351900100708,3.35076713562012,6.6509948730469,7.25936279296877,46.1409149169922,-56.9805183410645,7.23122558593752,0.0057511455379426,101301.9296875,1
2013,5,26,1,0,0,0.0849215537309647,309.533355712891,263.361450195312,2.71730957031252,205.305709838867,70.269172668457,-25.0208797454834,7.66765403747559,6.61916503906252,1.7430358886719,13.2056169509888,-54.5194091796875,1.08944091796877,0.0043764016591012,101321.9140625,1
2006,10,1,1,0,2,0.173332512378693,44.032958984375,241.336242675781,-1.10678710937498,35.587646484375,-20.7247848510742,-14.5602121353149,6.7080545425415,-0.0409301757812273,-1.57428588867185,10.7544631958008,-56.8512802124023,-1.81162109374998,0.0032026101835072,100578.2578125,0
2002,7,13,1,0,1,0,140.11962890625,322.031402587891,10.9043823242188,116.816230773926,13.6066780090332,10.7268562316895,3.12406778335571,10.6014038085938,10.9154296875,25.8116092681885,-41.1125030517578,10.9108825683594,0.0076159108430147,101077.2109375,1
2005,1,27,0,0,3,0.602495849132538,2.41387534141541,151.219482421875,-29.4411071777344,1.06105864048004,-9.84414577484131,-9.03288841247559,3.0215106010437,-25.3795532226562,-38.4752868652344,0,-21.0128955841064,-38.4739288330078,0.0002631569805089,102888.7578125,0
2010,10,2,1,0,2,0.173332691192627,31.9232482910156,273.314514160156,-3.61020507812498,20.2337188720703,-9.2507266998291,2.51743769645691,6.34551477432251,-4.13202514648435,-3.46994628906248,3.72090578079224,-21.6807384490967,-3.6040100097656,0.0029365804512053,99745.5703125,0
2008,11,28,0,0,2,0.45556640625,0.000146826103446,172.003036499023,-27.0732635498047,6.56045885989442e-05,-9.30533123016357,-11.0057706832886,4.12149238586426,-22.9988006591797,-32.2461303710937,0,-19.4050636291504,-32.2460998535156,0.0003170329146087,100271.0703125,0
2001,9,1,1,0,1,0,37.7777099609375,311.661956787109,2.7936950683594,32.3144149780273,-13.4345321655273,13.291389465332,3.00879311561584,1.93923339843752,3.2337585449219,7.97285413742065,-12.9224672317505,3.22857055664065,0.0047627347521483,99494.5390625,1
2007,6,8,0,0,0,0,326.608062744141,273.419189453125,11.3106628417969,271.909729003906,16.635311126709,21.0915641784668,7.35983371734619,10.9927917480469,11.6909118652344,133.805679321289,-87.4951705932617,11.608056640625,0.0063816779293119,100542.609375,1
2006,5,28,1,0,0,0.173332929611206,186.502853393555,277.100036621094,6.42763671875002,154.324401855469,35.5391044616699,-10.1330509185791,8.03191184997559,6.61556396484377,6.25982055664065,63.5107765197754,-55.0551528930664,6.14174804687502,0.0047960095107555,101726.46875,0
2002,8,25,1,0,1,0.173233300447464,173.775939941406,264.745422363281,6.15920410156252,145.180801391602,15.6415119171143,4.84293270111084,4.7602071762085,7.35845336914065,5.5693298339844,42.7840843200684,-72.0451354980469,5.5226989746094,0.0052177724428474,101088.1484375,1
2006,2,22,0,0,3,0.485709697008133,15.1879253387451,198.429763793945,-24.3405364990234,6.35251998901367,-4.98212909698486,-8.39401149749756,11.7225208282471,-24.7268585205078,-24.5487884521484,0,-18.3348331451416,-24.5489715576172,0.0004183837445452,102382.1484375,0
2001,10,12,0,0,2,0.239896148443222,47.8976249694824,225.698944091797,-10.7499145507812,21.5438938140869,-3.35928726196289,-12.0493087768555,5.50964689254761,-9.05985107421873,-11.7341674804687,0.0869920253753662,-38.4663238525391,-11.9770874023437,0.0016023791395127,99409.828125,0
2011,3,31,0,0,0,0.624473989009857,122.664306640625,195.451110839844,-18.1600708007812,52.918384552002,-4.19707870483398,6.18039417266846,4.24903297424316,-18.0698150634765,-18.2724670410156,0,-44.3722457885742,-18.2722839355469,0.0007765786140225,100179.234375,0
2008,3,26,0,0,0,0.439970642328262,109.482887268066,178.779205322266,-22.7294677734375,45.7762680053711,-2.31378936767578,6.99945688247681,2.24007821083069,-22.1209014892578,-25.3681701660156,0,-36.3162727355957,-25.3683380126953,0.0005178390420041,102246.1953125,0
2015,10,23,0,0,2,0.288163810968399,26.6817607879639,204.53141784668,-12.3430541992187,12.126519203186,-6.8783278465271,-25.8949337005615,7.12386131286621,-8.48197021484373,-15.3164123535156,0,-46.3235855102539,-15.3167175292969,0.0011816534679383,101416.09375,0
2002,11,18,0,0,2,0.253937572240829,0.95330810546875,210.77668762207,-22.347265625,0.431690812110901,-8.84414958953857,-7.55985602154396e-05,4.18134737014771,-22.5376495361328,-22.8503936767578,0,-12.1041479110718,-22.8498901367187,0.000544001290109,100325.765625,0
2016,2,11,0,0,3,0.461074531078339,14.2885484695435,177.980880737305,-24.7506164550781,6.36418151855469,-8.5346565246582,-5.97174835205078,2.99812006950378,-22.069677734375,-29.44443359375,0,-22.2933139801025,-29.4428466796875,0.0004191324987914,101414.5390625,0
2014,5,29,0,0,0,0.166892573237419,162.356216430664,293.390258789062,5.78399047851565,133.706069946289,37.265998840332,11.9010848999023,3.58866190910339,6.0838562011719,6.16365966796877,37.0676536560059,-38.6294937133789,5.9985290527344,0.0052968035452067,101303.8046875,1
